Rank,博主id,用户昵称,性别,粉丝数,关注数,是否大V,微博认证,个人简介,svip等级,score
197,5786911344,谢健豪178,m,5.7万,16,True,颜值博主 微博原创视频博主,人生没有那么多剧本开心一天是一天🤪 分享日常生活的每个瞬间🥳 感谢各位精神股东的支持，加油冲百万股东博主🙇‍♂️,1,0.0004546742324244689
198,3833859315,玻璃心小瓜,f,255,990,False,,长期招富婆,0,0.0004311812117978604
199,7813494008,小李Skylla,f,1.3万,1410,False,,大眼塞僵尸粉很严重，所以我时不时开一键防护。喜欢ff14拍照、画画、看书。会在微博记录生活/读书观影。,5,0.0004195121510031057
200,5834456914,三铜钱先生,m,244785,41,True,,,1,0.00038755131634844514
201,5290777427,戏精庆帝,m,14.7万,436,True,电视剧博主,看走势博主，偶尔客串🍉主，果农～,2,0.00038465986765593953
202,5104090170,大邱流浪啵叽Bae,f,12590,426,True,,𝓘'𝓶 𝓰𝓻𝓸𝔀𝓲𝓷𝓰 𝓵𝓲𝓴𝓮 𝓪 𝓯𝓵𝓸𝔀𝓮𝓻,1,0.0003772247138752108
203,7397646384,阿苯,f,1199393,574,True,,WeChat：Amyliu031 （小红书勿扰）,1,0.00037008829395174334
204,7972700710,她者-全女卫生巾创业版,f,157,458,False,,,0,0.00036173481016535906
205,7790168759,海蜇_Earth,f,72,259,False,,驴💜兵❤驴💙猴 审判娥的全似了,2,0.0003462449064555074
206,6155599607,醉仙美6,f,23.3万,51,True,超话主持人（醉仙美6超话）,欢迎投稿明星和网红,2,0.000334585487970291
207,6936061442,徐momo呀,f,481,311,True,,你友好我也友好 苒圈e人哈哈哈,0,0.00033075500274565577
208,6587005047,孙浣妮,f,12.3万,193,True,萌宠博主,,1,0.00032920601237467086
209,5171986047,哎呦是我喽,f,277146,339,True,,好好生活 好好爱自己૮₍ ˃̶ ꇴ ˂̶ ₎ა,1,0.000324319817852826
210,5317526150,瞬颜一,m,11892,624,True,,我爱玩游戏,1,0.0003203024660959185
211,6347099168,年年plog,f,53.3万,20000,True,情感博主 超话粉丝大咖（年年日记超话） 微博原创视频博主,💛推广请私💛  📮接投稿,2,0.00031526509903580415
212,7942418420,流水水日记_,f,3361,132,False,,这里是流水水的护唇工具正经打卡点📍 工具测评💦｜科普介绍📔｜🔝请先看置顶 🈴️请私信,0,0.0003133731179398154
213,6072519818,爱吃火锅的慕容凝丝,f,107,795,False,,码字工/互联网爱操心人,0,0.00030790739477362455
214,6471269693,莓有番心柿--,f,12,249,False,,我有很多废话要讲🥖•͈̑ ᴥ •͈̑🌭️ᐝ,0,0.00030068972120107676
215,7666943859,呵呵一笑NM,f,28704,1210,True,娱乐博主 超话创作官（散打哥超话）,,0,0.00030022417804218004
216,2720608820,爱上萌熊猫,f,178203,1354,True,,大熊猫萌宠搞笑幽默分享，欢迎大家投稿,1,0.00029977519532595247
217,7383849169,财法海,m,23426,6872,True,,老衲法海，非主流律师，家有俩娃和一个师太。 寻找生活和生命的意义,1,0.0002946118940893353
218,7596587379,淇淇d小糖豆,f,3191,3387,True,超话粉丝钻咖（成毅超话） 微博原创视频博主,本人成毅毒粉，多担不要呼我，如需移出请私信💚单曲拉黑,1,0.00029181388198125775
219,1403078180,南风在北京,m,307240,2409,True,,中国男人，请更自信一点！,1,0.0002791348986325755
220,5636136297,瘦不了的中医肥猫,f,84.4万,296,True,浦口白露中医门诊部中医科医师,安徽中医药大学教师，微博小号:中医周雯，被安徽中医药大学政治迫害开除党籍、构陷成刑事犯罪嫌疑人师风师德不合格降级调离教师岗吊销教师资格证！,2,0.00026724639753526443
221,5993423827,怪博士李雷,m,1688830,1196,True,,生物学博士,1,0.00025934654664324
222,1750852843,PChome,m,126.4万,1018,True,PChome.net电脑之家官方账号,PChome.net电脑之家官方账号，每天为您带来最精彩的全行业资讯、消费类电子产品评测以及热点事件报道。,6,0.00025664904215881964
223,7492547385,今豫良言,m,4.6万,534,False,,河南老乡有言：三十功名尘与土，八千里路云和月。莫等闲，白了少年头，空悲切。,6,0.00025561800521356975
224,1577794853,互联网的一些事,m,1562020,2121,True,互联网科技博主,互联网的一些事！新鲜有料的互联网科技资讯！（合作微信: hao608）,0,0.0002539306124532598
225,3759595033,米其林蛋饼,f,72,456,False,,关你屁事,0,0.000248577392031022
226,6204040833,Oo凹凸曼爱上小怪兽oO,f,119,243,False,,扶光遇望舒，炽夏迎骄阳,0,0.0002381106262714955
227,7425586997,剋剋啊,m,201380,218,True,,今天发生了什么新鲜事    社会丨感悟丨新鲜事丨吃瓜  更多犀利个人观点在@剋剋随笔,1,0.0002378155804865459
228,7455677482,箴言_胡,f,8578,5426,True,美食博主,"💋～你陪我一程,我念你一生 ～ 💋 🌷《你若懂我，一切尽在不言中》🌷",6,0.0002378155804865459
229,3038801145,文秀佳,f,363490,3023,True,,希望我这个小可爱，能让你难忘又牵挂！,1,0.00023523392986823732
230,6514306912,森哥谈网事,m,24.6万,309,True,娱乐博主 微博原创视频博主,全网娱乐资讯，感谢关注！合作请私信！,2,0.00023523392986823732
231,6816075606,杨瀚微博,m,7.3万,689,True,退役军人、中国小动物保护协会 志愿者 军事博主 微博原创视频博主,人多的时候别看我小店哦，相当炸裂,2,0.00022077668640570937
232,6393166009,邓学平律师,m,78.1万,836,True,律师 法律博主,上海权典律师事务所主任,1,0.00020993375380881318
233,1771017150,数懒小姐姐,f,110万,3209,True,数码博主 微博原创视频博主 头条文章作者,摄影数码游戏爱好者，视频拍图评测，  自有工作室✺◟(∗❛ัᴗ❛ั∗)◞✺  我争取做个有趣的灵魂,2,0.00020761026825233538
234,7484889163,蝻胞嬤,f,1553,469,False,,护血🩸宝，用的安心，贴心呵护，让您无忧生活。,0,0.0002009348573678515
235,6747471065,诗经_小哑,f,69193,412,False,,小⭕ 不懂/不喜勿入 大部分粉见 小部分好友见 合作推广请私信 注意私信只能看到最后一条,0,0.00020063981158290213
236,7652656485,鱼圈雪王,f,3.2万,956,True,娱乐博主 微博原创视频博主,乐子人颜狗,2,0.00019915720651353055
237,7112703942,颖崽味的小仙女,f,75,310,False,,我老婆@赵丽颖,0,0.00019134586935699096
238,1885286525,女神酱cc,f,65.9万,55,True,颜值博主 美女帅哥视频博主,❤转发推广，请私信❤,1,0.0001890223838005134
239,2375086267,参考消息,m,2452万,187,True,参考消息报社官方微博,《参考消息》由新华通讯社主办、参考消息报社编辑出版，创刊于1931年，是中国市场发行量最大的日报。,2,0.0001890223838005134
240,7730778342,怒吧_NUNULAND,f,24.2万,992,True,音乐博主,klm请取关,2,0.00018249449580850442
241,3253527891,Fish-inthesea,f,16621,2392,False,,感觉一切都没有变，又感觉一切都变了,1,0.0001655293631739049
242,7613915674,kiku_辞梦祎,f,2.5万,1897,True,娱乐博主,“她们真的好爱你啊” 😉🤭  （😢❤️） ​​​,6,0.00016380826276169916
243,5688915436,C橙Neo,f,11.2万,5677,True,情感博主 超话粉丝大咖（侯明昊超话） 微博剪辑视频博主,只担侯明昊。千帆历尽，心少年……,1,0.00016066261094144603
244,1243630505,财曾曾,f,1.9万,1128,True,设计美学博主 头条文章作者,狮子座的设计师 ，logo设计加v 13871139238,6,0.0001603660619372877
245,2437016970,我是山河君,m,51.2万,1120,True,辽宁雄志能源公司舆情顾问 互联网科技博主 视频博主 超话粉丝大咖（锦州身边事超话） 头条文章作者,锦州是一座被山、河缠绕的英雄之城！ @我是山河君，做自己心中的英雄！（部分图片或视频来源网络及网友投稿，如有侵权请私信联系删除）,1,0.00015417010045334705
246,6293199312,精神病人电波站,f,590,1086,False,,醒来总比睡着好,0,0.0001512270187484752
247,2140296057,ABC官方微博,f,831896,106,True,,更多ABC详情，欢迎登陆ABC个人护理官方网站：www.abc-love.com,0,0.00014952312934039154
248,5217049827,虚伪的神在生根发芽,f,75,373,False,,倦兮倦兮钗为证，天子昔年亲赠；别忆风情，聊报他，一时恩遇隆；还钗心事付临邛，三千弱水东，云霞又红；月影已消融，去路重重；来路失，回首一场空。,0,0.00014874863415489893
249,6205104426,安安想要的都得到,f,28,76.0,False,,一个树洞,1,0.00014745780884574462
250,7700623999,书小阮_Murmansk,f,137870,268,True,,叫我小阮/喜欢记录圈子日常的普通人，不喜绕路/🈴作请私信/镇魂,1,0.00014590931976614165
251,7033595759,孙旖Jojo医生,f,56万,243,True,上海市同仁医院妇产科主治医师 微博原创视频博主,💙妇产科主治医生、医学硕士 ✏️《Jojo医生陪你科学怀孕》 📮sysucceed@163.com  🐷🍐jojoyisheng1216 💙私❤️666领“远离炎症养护宝典”,1,0.00014520808473550428
252,6866617075,你别杀猪了,f,2210,368,False,,sj我一次你倒霉半年,1,0.00014438397230220158
253,2533837991,当然有戏__,m,305433,849,True,,人生就是一场戏，你在台上演戏，我在台下看戏。人生如戏，戏如人生，人生当然有戏！,1,0.0001437537014368671
254,7748657133,奕起熙欢猫猫吧,f,1824,381,True,超话粉丝钻咖（张函瑞超话）,☆⁺家有萌娃,4,0.00014113276483088854
255,5125646701,Dear宇宙之心,f,21813,709,True,娱乐博主 超话创作官（马天宇超话）,真爱宇至末年,0,0.0001375801890887378
256,1960785875,津云新闻,m,1127.3万,3145,True,津云新闻官方微博,津云新闻,2,0.00013713120637251023
257,5856341253,千颂伊oini,f,27,402,False,,🪸,0,0.00013603119871775262
258,7480824636,凰家实验室,f,1271120,460,True,凤凰网凰家实验室官方微博,用硬核态度，做有料评测。进粉丝群加：hjpc2020 合作邮箱：pcbyy@ifeng.com,7,0.00013596946359427131
259,5488211312,爱唱歌的小7,f,86.2万,8189,True,微博原创视频博主 微博VLOG博主 时尚博主 超话主持人（小鱼凌晨电台Vlog超话）,一个唱歌还不错的普通女孩，周杰伦的歌优先，想要听的歌置顶评论区，看到就会翻唱一下，dy：爱唱歌的小7  ，我是小7（推广合作私信）,2,0.00013388800778326001
260,1741538517,想冬眠的十万,f,19720,1810,False,,,0,0.00013354916613960701
261,7052975440,码了个马,f,32万,134,False,,,6,0.00013241231784947321
262,3200825142,Sia_非甜味鱼子酱,m,1795,1039,True,,姐的微博姐做主，指手画脚爹入土。,1,0.0001321476038410084
263,7429436746,晏少唯x,m,11225,1076,True,,内修心，外修金！,1,0.00012983523723381196
264,1435723965,医疗圈那点事,m,190.5万,300,True,健康达人 执业医师 健康博主,"医生申请美国绿卡,评估咨询加VX:cmsbzljs",2,0.0001293862545175844
265,1653603955,扬子晚报,f,2006.4万,1964,True,《扬子晚报》官方微博,江苏和中国发行量最大的晚报都市报。公信力、引导力、影响力，三个力量撑起勇担责任的扬子品牌,3,0.0001293862545175844
266,1677991972,晶报,m,1152.4万,679,True,深圳晶报官方微博,《晶报》官方微博。《晶报》是深圳报业集团主管、深圳晶报传媒有限公司出版的一份面向全国的都市类综合性日报。,7,0.0001293862545175844
267,2132297482,京兆扶风,m,2.1万,5215,True,衢州景星职业培训有限责任公司 培训部副主任 游戏博主 超话创作官（王者荣耀超话） 微博剪辑视频博主,多体谅他人的苦楚，就是让自己远离苦楚。,1,0.0001293862545175844
268,5482286569,环际军事,m,90.2万,69,True,军事博主,军事博主,2,0.0001293862545175844
269,6520165451,叮叮当爱吃糖,f,1,162,False,,,0,0.0001293862545175844
270,5995445316,Celeste玦,f,117,305,False,,逃离🏥,0,0.00012868613545704785
271,2431328567,微博热点,f,314.2万,2444,True,微博内容中心官方微博,微博内容中心官方微博,7,0.0001241971367747841
272,5662681414,sun起了我不起,f,16,327,False,,不清楚,0,0.0001226515137741706
273,3561653373,love邓小猫,f,47892,7773,True,,,1,0.00012164130266265856
274,6371931488,知雾iiiojz,f,24,50,False,,很幸运且顺利着,0,0.00011486557621129202
275,6458642686,井井有条大魚,f,20.7万,159,True,时尚博主,欢迎来到快乐基地✨喜欢挖掘各种好物 🔍研究变美干货 🧏🏻‍♀️肉脸是天生的不是胖！,6,0.00011465424966782185
276,5715111156,江苏大卫财经,m,1489,141,False,,这短短的一生，我们最终都会失去，你不如大胆一些做你想做的。,0,0.00011389635080773274
277,6377404902,o蜜桃薄巧o,f,1311,1612,False,,想发啥就发啥🤷,2,0.0001125409842331207
278,1403915120,科罗廖夫,m,681.3万,2014,True,2024微博年度新知博主,著名的军事作家，联合多名军事作家打造的《科大读书会》深受军迷朋友们喜爱。欢迎关注微信公众号：keluoliaofucn 【科罗廖夫的军事客厅】,2,0.00010978046210768644
279,6776097800,一个小小屁,f,17.2万,154,True,美妆博主,一个天天熬夜秃头种草博,7,0.0001092327833693738
280,2409482243,未来网,f,1210.1万,1698,True,未来网官方微博,未来网由党中央批示成立，是中央网信办批准的中央新闻网站，全国少工委新媒体工作平台。举报违规使用少先队标志标识：honglingjin1107@163.com,2,0.00010873304957111553
281,5691358782,就叫黄小凡,f,63.3万,511,True,数码博主 微博VLOG博主,合作请加UPLAB0401,1,0.00010072993265435882
282,1720962692,极目新闻,m,2291万,1872,True,楚天都市报极目新闻官方微博,全球眼，中国心，瞭望者，思想家,3,9.840644709788108e-05
283,7108221634,锦鲤与我的故事,f,1,52,False,,心情愉悦，吃嘛嘛香，身体倍棒,0,9.840644709788108e-05
284,7364248958,一眼啵,f,24264,833,True,,镇魂操/gay,1,9.840644709788108e-05
285,7896232493,弋熙云歌,m,1.4万,2077,True,娱乐博主 微博剪辑视频博主,散粉，剧粉➕路人粉，单纯欣赏lyx，不站队，不站粉圈，希望熙哥演艺事业蒸蒸日上！ lyx阳光，帅气，正能量满满，只为支持他！ 你诚我诚，你善我善。,1,9.840644709788108e-05
286,5995377165,我烊_Jackson,f,69,60,0,,平安喜乐,0,9.840644709788108e-05
287,6241669139,史密斯机批发总裁,f,45,126,False,,下次一定注意！,1,9.608296154140334e-05
288,6165797992,任嘉小雪儿,f,3.2万,2209,True,娱乐博主 微博剪辑视频博主,切勿直关，目前养耗，暂停互粉。 ｜ iMelodyDesigns｜2020年6月看了《锦衣之下》粉上任嘉伦｜,1,9.608296154140332e-05
289,3957350791,都市美丽富女,f,1971,135,False,,宜暴富，忌平庸。,6,9.242595414631462e-05
290,1457478803,脊梁in上海SH,m,132.8万,3114,True,本地新势力博主 人文艺术博主 微博原创视频博主,20年媒体从业，上海城市考古运营者，上海本地气象博主。纪录上海，热爱上海,2,9.236538465103893e-05
291,5797057768,诗卓卓丫,f,91618,2255,True,,谢谢关注😘,1,9.032475820578457e-05
292,2799368122,总裁视野,m,1568765,914,True,,“以微博之力，让世界更美” QQ：916658341,1,9.010828439617485e-05
293,6004020733,凌凛凛,f,61,333,False,,,2,8.926171981959894e-05
294,5798405420,一口七个香芋派,f,82,328,False,,,6,8.796770164289719e-05
295,7589828716,liynny_,f,1.7万,1411,True,娱乐博主 超话创作官（angelababy超话）,Angelababy 林一,5,8.522906440520162e-05
296,6004922847,敏敏敏小鱼,f,45,545,False,,无个人介绍(￣^￣),0,8.496942219294952e-05
297,6767402442,韦德飓风,f,527,1289,False,,愿一切表达与热爱都能光明正大,1,8.453288116644874e-05
298,7770877755,半阙诗仙,f,1.2万,524,True,娱乐博主,很讨厌看不到自己的转发区内容,1,8.329272676384012e-05
299,7363514549,仿生虚构小鱼,f,1,51,False,,,0,8.291654338802943e-05
300,7496237363,星期一远方天晴,f,34,1528,False,,,1,8.06753316467109e-05
301,3304893401,春城老哥,m,393351,1196,True,,弘扬正能量，人还是要有梦想的，万一实现了呢？,1,8.055552032204682e-05
302,6286643655,差评小菌,f,74.6万,131,True,美妆博主,我的奇妙生活,6,7.887257209806459e-05
303,7143437309,慕容弱小,f,44963,141,False,,常常期待 有时收获,0,7.775324215141222e-05
304,6078130335,郝美丽吔,f,89,259,False,,悟君子正道，守人间沧桑。,7,7.730698540167601e-05
305,7787554663,哎一古朝流,m,2.4万,983,True,动漫博主 超话创作官（动漫超话） 微博原创视频博主,,1,7.710782949683505e-05
306,5859146945,ATAO颜值上分中,f,155568,934,True,,我想当业余爱好中的专业人士💗,0,7.701101759864849e-05
307,3948572297,带灵归,f,81,78,False,,,4,7.5607883395151e-05
308,6569076166,股市财宝宝,f,60万,1019,True,财经观察官 财经博主 微博原创视频博主,职业交易员。,1,7.51715915331036e-05
309,2957820881,万像视频,m,1330.8万,667,False,,万像视频，包罗万象！服务社会读者，报道生活新鲜事儿，商务合作：SSbdyezi,7,7.284810597662585e-05
310,1751098697,钮钴禄屠戮玄武,f,351,181,False,,即使看尽人间霓虹变换，我也想与你并肩雪山之巅，与你追逐极光，相伴余生♡.,7,7.133087773142957e-05
311,5201172313,小初左,f,90,114,False,,蔡徐坤,1,7.129911560564068e-05
312,7963602326,安静白鹭写代码,f,1,141,False,,,0,7.052462042014811e-05
313,7742433435,嘿色-森林,f,3,46,False,,,1,6.95547570797565e-05
314,5361563575,微博媒体,m,629.6万,3235,True,媒体微博合作官方账号,新浪微博媒体合作官方账号，本账号将作为微博与各媒体沟通，交流、合作的平台。媒体合作请 @媒体微博合作，或私信我们，谢谢！,1,6.913052908626145e-05
315,1789040470,胡说扒道的Nikki,f,1.3万,580,False,,专利代理师︱实习律师，知产&amp;法律问题欢迎咨询，vx：Hjjaha_Capricorn  时刻清醒，常常自律，很少放弃,6,6.890186860292557e-05
316,1652484947,新快报,f,2636万,546,True,广东新快报社官方微博,《新快报》于1998年3月30日创刊，世界日报发行量前100强。报料热线：020-87776333 传真：020-87133901 发行热线：020-87133914,2,6.858838245641665e-05
317,7817487290,Drioformyself,f,501,67,False,,自由地,0,6.79429698018395e-05
318,3051949107,兰州微导航,m,1025050,1086,True,,兰州微导航，微博区域MCN机构，为您导航兰州新闻、兰州吃喝玩乐、兰州生活、兰州旅游等本地资讯。投稿、爆料、微博合作、本地商业合作请私信。,1,6.779034339013947e-05
319,5826047944,我的梦中情猴孙大圣,f,533,321,False,,不操心别人的事，也不用别人来分析我家的事。没有关系就是最好的关系,0,6.755857494529276e-05
320,5408653484,仁俊的火锅,f,18899,360,True,,备注:火锅 💛161203 铁血整肃 等仁俊回国🦊🍊7ˣᵏˣᵏᶜᵏ🥘#一直陪仁俊照亮世界#✨（❌cp ns)麻烦省省吧 随便吐槽 别sj我 别来沾边👊🏻,1,6.742663967817778e-05
321,5811521845,夜煞缄吻鲤,f,2720,711,True,,𝖸𝗈𝗎&𝖬𝖾,0,6.742663967817778e-05
322,6209092845,利刃空天,f,340121,58,True,,热门社会时事博主 微博原创视频博主 微博时评博主 ｜所有言论仅代表网络观点 与身份无关！所有在网上挂人引战 煽动网暴 一律下地狱！,1,6.742663967817778e-05
323,6442248058,JJJJft,f,164,37,False,,Nah.,0,6.742663967817778e-05
324,7318927836,泡泡娱乐坊,f,6,35,False,,走在成长的路上...,1,6.742663967817778e-05
325,7529272361,鹿念寻幽yul,f,4,57,False,,Shall I compare thee to a summer's day.,0,6.742663967817778e-05
326,7733503274,Burningfantasy,f,1,23,False,,get rich,0,6.742663967817778e-05
327,7784239019,kiku延雪江南祎,f,1773,1520,True,超话粉丝大咖（鞠婧祎超话）,鞠婧祎 非唠铁不互 单曲去丝,2,6.742663967817778e-05
328,7835897933,睡醒了吗D,f,13,124,False,,“Peace and love”,1,6.742663967817778e-05
329,7842685642,那你去薯呗_勇闯花街版,f,2737,120,True,超话粉丝钻咖（白鹿超话）,🈲dq 发现lh 可双 私信,2,6.742663967817778e-05
330,7881494195,王德发日记,f,2361,414,True,动漫博主,勇敢的人先享受世界,1,6.742663967817778e-05
331,7925706533,云相遇OG,f,1699,271,True,娱乐博主 超话粉丝钻咖（邵子恒超话）,英文名：Aurelia 🪼🪼 本人担POLARIX-邵子恒狠op！   0617号恒星报道！ 我是POLARIX老大🫶  最近好冷人设。,3,6.742663967817778e-05
332,7964634087,Deawzhizhi_,f,1101,653,False,,直关不回，私🈷️我,2,6.742663967817778e-05
333,1959185150,总裁精粹,m,166.3万,366,True,职场博主 超话主持人（总裁超话）,在这里寻找片刻的安静。   联系 QQ：916658341  声明:微博有原创有搬运，侵权请私信我删除。,2,6.665214449268519e-05
334,5648790156,河南科技大学,m,23万,515,True,河南科技大学官方微博,河南科技大学官方微博，发布权威信息，展示校园生活，服务师生校友，敬请关注和支持！,1,6.58776493071926e-05
335,6328313304,好老龚GDP,f,10757,1111,True,,一级建造师,1,6.355416375071486e-05
336,7670162388,宇宙中孤独且稀有的小星星,f,159925,3199,True,,做自己的光,1,6.161792578698341e-05
337,2783053135,龙猫自在,m,168321,367,True,,什么都略懂一点，生活更多彩一些。,1,6.16179257869834e-05
338,2157530024,懵懵柒柒_Crab,f,1923,189,False,,取关唔该移除 多撚谢,0,6.104247044811216e-05
339,1887790981,广州日报,m,2006.6万,3978,True,《广州日报》官方微博,追求最出色的新闻 塑造最具公信力媒体,2,6.0843430601490825e-05
340,7532769973,花姐姐1206,f,3,97,False,,喜欢没有黑料的，演技好的，长得好看的！,0,5.902169051907787e-05
341,7107913321,自洽定理,f,9.5万,756,True,微博原创视频博主,vx：ziqiadingli 🍑：自洽定理,8,5.751310130387271e-05
342,6895368722,吃栗子去耶,f,41,959,False,,,0,5.658370708128162e-05
343,1657987915,财富中文网,m,157.5万,482,True,《财富》（中文版）、财富中文网官方微博,《财富》（中文版）是全球权威财经杂志品牌美国《FORTUNE》杂志唯一授权的中文版，财富中文网是《财富》（中文版）唯一官方微博,0,5.6209367741626874e-05
344,5533227850,太阳老哥哥,f,43,84,False,,。,0,5.490563417938103e-05
345,5631979931,只是一个瞎想,f,68,387,False,,,0,5.3935636770244055e-05
346,6026921854,萤火虫在线,m,205693,20000,True,,只言片语，总有一分是你喜欢的,1,5.2091635005424647e-05
347,5226059926,漂泊的喷壶,m,1834,649,False,,正义化身的键盘侠,7,5.193673596832613e-05
348,2705169595,正能量彔,f,105.1万,363,True,教育博主,“以微博之力，让世界更美”。声明:微博有原创有搬运，侵权请私信我删除。,2,5.193673596832613e-05
349,5656304830,帆坨儿,f,59,163,0,,某知名啥也不是博主,0,5.193673596832612e-05
350,5942078088,王铁锤爱吃瓜,f,32549,488,True,,互联网搬砖民工  爱看书，爱旅行,1,5.077499319008725e-05
351,1642585887,新浪证券,m,466.3万,4358,1,新浪证券,新浪证券全方位报道中国证券市场，聚焦制度发展，点评行情走势，围观股市众生百态。主打产品：新浪财经APP。爆料、投稿请发私信或邮件ziben20@sina.cn,1,5.077499319008725e-05
352,1720462964,兰州新世相,m,1011153,2124,True,,投稿，信息咨询，合作事宜请私信。,1,5.064080713994658e-05
353,1656737654,现代快报,m,1427.1万,1597,True,现代快报官方微博,现代快报官方微博。以“讲真话办实事树正气”为办报宗旨、以“新新闻新文化”为特色定位的新型主流媒体。新闻报料热线：025-96060。,1,4.9613250411848376e-05
354,5386149032,-MacaBaka,f,49359,713,True,,听说快乐会传染,1,4.7357112262804766e-05
355,5684017110,尖峰辉哥,m,90120,10043,True,,自由是生命的灵魂！,1,4.728976485537063e-05
356,5101932978,能不能不洗头啊,f,225,560,False,,话真的很多,0,4.728976485537063e-05
357,6432965781,twi_xuan,f,117,419,False,,我仍深爱着素未谋面的你下一年我还这么说。ᯅ̈,0,4.6773434731708905e-05
358,2987075950,木生两枝,f,38,80,False,,只看资讯别管观点别带情绪，不吵架不吵架不吵架,1,4.6341008253142224e-05
359,7878138551,芭比babibo,f,35,204.0,False,,抱一丝喜欢辱追全kpop,0,4.5527788308375004e-05
360,6148776612,吴山居不养闲人,f,7,336,False,,喜欢小坏狗和大坏比格！/镇魂,1,4.41917841134003e-05
361,7681791530,是齐司礼的小狗狗,f,9,133,False,,镇魂,0,4.376150901034887e-05
362,5556131412,肖明啵啵,f,255,2007,False,,纯粹，美好，浪漫，温柔，细腻，长情，无法解释,0,4.27774885572834e-05
363,2033967337,听伱唱首歌,f,4845,1635,True,美食博主 微博原创视频博主,我一定会找你，披星戴月！私信早关了.镇魂,1,4.2720243260964396e-05
364,7782884695,南归孤夷,m,58.5万,193,True,互联网科技博主,国际国内资讯分享、主要方向湾湾、非专业军事迷、喜欢传统文化、传递正能量,2,4.264279374241514e-05
365,7791012610,月映_琼花,f,0,48,False,,,0,4.264279374241514e-05
366,7867453275,敖瑞你萌,f,30,246,False,,我老公叫小歪,2,4.264279374241513e-05
367,6933754019,批哩啪啦砰,f,22,193,False,,好人版,1,4.242888554832671e-05
368,1644916334,临界点BE,m,1975,126,False,,临于危局而不乱，界于洪涛而不惊，点于临界而自知方向！！！,1,4.1610133495091686e-05
369,6466748258,有酸辣土豆丝欸,f,4,28,False,,看看,0,4.025292288432374e-05
370,6456112198,喝一碗梨汤吧,f,20,193,False,,万事俱备会如愿以偿,0,3.9544813000444804e-05
371,5736920563,时小娜同学,f,271,1008,False,,本人唯一账号！爱笑的女孩运气不会太差,0,3.892521685205074e-05
372,7407392704,疯狂蘑菇大王,f,13,157,False,,算了你说地球是钉子做的我都会附和你了 毕竟真的有刺痛我 操。,0,3.891647977307668e-05
373,7442941564,kulomiyeeha,f,3119,176,False,,ʚ人民币重度依赖ɞ✟₊✞ 变美➕认知➕赚钱📓get everything视奸会s 越来越有钱越来越美丽越来越瘦越来越幸碎碎念 rich and beautiful 偷看者baobi,4,3.821710696817181e-05
374,5296676352,沦洛校园,f,4.5万,807,True,超话粉丝大咖（体育96529超话）,好好生活,1,3.799582262945964e-05
375,3625072975,拥抱的问号666666,f,27,185,False,,,1,3.792206118322225e-05
376,7314232834,蓝拖鞋本拖,f,22,137,False,,一名怀有梦想的中国人。平时喜欢追剧，唱歌。comeon,0,3.7737657567628774e-05
377,2114266013,-野火不熄-,f,49,216,False,,祸害遗万年 焺焺永不熄 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,0,3.6895814974702054e-05
378,5849460554,粉雾海风吹万里,f,591,792.0,False,,欢愉且胜意，万事尽可期,2,3.6895814974702054e-05
379,2297062882,aieiemup,f,263,335,False,,,4,3.6511221542930326e-05
380,2105463730,二月风_43205,f,184,516,False,,,0,3.6446832258474474e-05
381,2687188353,最火大本营,f,168233,209,False,,2023最具影响力大V,1,3.6446832258474474e-05
382,3900089538,妈妈讲事会,f,10.1万,166,True,颜值博主 微博原创视频博主,,7,3.6446832258474474e-05
383,5616924668,高山论,m,1456,63,True,超话主持人（高山论超话） 财经博主 头条文章作者,高山论，论天下,0,3.6446832258474474e-05
384,6456670544,我是闪光大钻石,f,4,60,False,,大钻石的互联网记事簿 随手记下 谢谢你恰好也喜欢 （不定时发疯 但这里才是最真实的我,0,3.6446832258474474e-05
385,6580801794,AddRed,m,189,672,False,,每天发疯,0,3.6446832258474474e-05
386,6603273525,神明是否迷路,f,1,50,False,,,0,3.6446832258474474e-05
387,6606805643,霄笛飞鸣,m,68,202,0,,意外,0,3.6446832258474474e-05
388,6675595533,Uneroseunique,f,3,54,False,,连雨不知春去，一晴方觉夏深,0,3.6446832258474474e-05
389,7472808083,大湾区新闻,m,100.6万,522,True,深圳报业集团大湾区新闻官方微博,深圳报业集团视听中心官方微博,6,3.6446832258474474e-05
390,7492754511,用户7492754511,f,1,105,False,,,0,3.6446832258474474e-05
391,7734177110,大白兔叽吖DAYTOY,f,1,351,False,,我很懒，啥也没留下来（carpe  diem!）₍ᐢ..ᐢ₎,0,3.6446832258474474e-05
392,7737401933,鸭桉ya_,f,1051,1105,True,娱乐博主 超话粉丝钻咖（闫桉超话）,平平桉桉，顺薪顺意,2,3.6446832258474474e-05
393,7745077925,小含欧尼-,f,10,79,False,,那就做个快乐的笨蛋咯,1,3.6446832258474474e-05
394,7801058380,兜苒鸢桧-Ran,f,3339,441,True,娱乐博主,请容许我小小的骄傲 因为有你这样的依靠,1,3.6446832258474474e-05
395,7801495169,清风_1213,m,6,4,False,,,0,3.6446832258474474e-05
396,7902540224,橙子栀i奕,f,1339,1401,True,娱乐博主 超话粉丝钻咖（王奕超话）,一直陪着你是我对你许下的承诺🍋@SNH48-王奕 @一个优雅的挑水人,1,3.6446832258474474e-05
